-899296.7832398125	816876.5045695503	545408	969742.6530680736	-469815.10331608285	484721	565917.2255334682	-65028	-903209.6537389853	-679044
-682752	581652.4780350628	349080	-179606	-585654.0843960973	-431083.37263071816	-426851.5283649741	-272655	295134	614525.4878580535
910390	808695	-451597.3211369517	-925387.2766082945	770789.5339245375	-105771.63391661213	607939	-833938	803797.8338044516	-633581.5680787633
331379.8395259287	-172083.62718668475	-941645.0932178377	-988419.9870592598	212411	-429950.58408403874	-814186	-604249	103585	32630
841866	-247773.9181800203	-721489	187384	-888694.4809400293	-789497.9861436484	-897267.7308545338	778207	-812536	-247778
-341587	674944	-695444	647998	979196	-807711.8367153013	94299	-421270	-634163.4035905419	-263974.6096794846
704470	94533	742743.8391434385	581229	-97470.2947162718	-571899.9381172673	644065.5827658626	-780839	252006.93693998596	-33069.98101611214
-161989.40428894176	778934	806535	285756.4239658534	-881373	-120721.429770877	649707	-306204.2715747962	898158	-668190
154191	-529213	46375	-916294.5199817796	-41361	730262.9555288071	-719249	680184	972586	-337116.66185646027
-290288.6664843543	-538202	222077	421176	-558407.0652139328	482702	698822	510139	-235385	-495636.42298374133
